image_path,alpha_path
data\train_processed\images\00001333.png,data\train_processed\alpha\00001333.png
data\train_processed\images\00000323.png,data\train_processed\alpha\00000323.png
data\train_processed\images\00001089.png,data\train_processed\alpha\00001089.png
data\train_processed\images\00001000.png,data\train_processed\alpha\00001000.png
data\train_processed\images\00001549.png,data\train_processed\alpha\00001549.png
data\train_processed\images\00001866.png,data\train_processed\alpha\00001866.png
data\train_processed\images\00001684.png,data\train_processed\alpha\00001684.png
data\train_processed\images\00001819.png,data\train_processed\alpha\00001819.png
data\train_processed\images\00000695.png,data\train_processed\alpha\00000695.png
data\train_processed\images\00000215.png,data\train_processed\alpha\00000215.png
data\train_processed\images\00001041.png,data\train_processed\alpha\00001041.png
data\train_processed\images\00001259.png,data\train_processed\alpha\00001259.png
data\train_processed\images\00000158.png,data\train_processed\alpha\00000158.png
data\train_processed\images\00001057.png,data\train_processed\alpha\00001057.png
data\train_processed\images\00000986.png,data\train_processed\alpha\00000986.png
data\train_processed\images\00000841.png,data\train_processed\alpha\00000841.png
data\train_processed\images\00000634.png,data\train_processed\alpha\00000634.png
data\train_processed\images\00000516.png,data\train_processed\alpha\00000516.png
data\train_processed\images\00001991.png,data\train_processed\alpha\00001991.png
data\train_processed\images\00001518.png,data\train_processed\alpha\00001518.png
data\train_processed\images\00000597.png,data\train_processed\alpha\00000597.png
data\train_processed\images\00000195.png,data\train_processed\alpha\00000195.png
data\train_processed\images\00001641.png,data\train_processed\alpha\00001641.png
data\train_processed\images\00000968.png,data\train_processed\alpha\00000968.png
data\train_processed\images\00000410.png,data\train_processed\alpha\00000410.png
data\train_processed\images\00000096.png,data\train_processed\alpha\00000096.png
data\train_processed\images\00000998.png,data\train_processed\alpha\00000998.png
data\train_processed\images\00000944.png,data\train_processed\alpha\00000944.png
data\train_processed\images\00000156.png,data\train_processed\alpha\00000156.png
data\train_processed\images\00000419.png,data\train_processed\alpha\00000419.png
data\train_processed\images\00001800.png,data\train_processed\alpha\00001800.png
data\train_processed\images\00000477.png,data\train_processed\alpha\00000477.png
data\train_processed\images\00001853.png,data\train_processed\alpha\00001853.png
data\train_processed\images\00000668.png,data\train_processed\alpha\00000668.png
data\train_processed\images\00001055.png,data\train_processed\alpha\00001055.png
data\train_processed\images\00001869.png,data\train_processed\alpha\00001869.png
data\train_processed\images\00001933.png,data\train_processed\alpha\00001933.png
data\train_processed\images\00000447.png,data\train_processed\alpha\00000447.png
data\train_processed\images\00000553.png,data\train_processed\alpha\00000553.png
data\train_processed\images\00000178.png,data\train_processed\alpha\00000178.png
data\train_processed\images\00000390.png,data\train_processed\alpha\00000390.png
data\train_processed\images\00000578.png,data\train_processed\alpha\00000578.png
data\train_processed\images\00001006.png,data\train_processed\alpha\00001006.png
data\train_processed\images\00001704.png,data\train_processed\alpha\00001704.png
data\train_processed\images\00001285.png,data\train_processed\alpha\00001285.png
data\train_processed\images\00001642.png,data\train_processed\alpha\00001642.png
data\train_processed\images\00001996.png,data\train_processed\alpha\00001996.png
data\train_processed\images\00000820.png,data\train_processed\alpha\00000820.png
data\train_processed\images\00001822.png,data\train_processed\alpha\00001822.png
data\train_processed\images\00000982.png,data\train_processed\alpha\00000982.png
data\train_processed\images\00001047.png,data\train_processed\alpha\00001047.png
data\train_processed\images\00000664.png,data\train_processed\alpha\00000664.png
data\train_processed\images\00000142.png,data\train_processed\alpha\00000142.png
data\train_processed\images\00001514.png,data\train_processed\alpha\00001514.png
data\train_processed\images\00001427.png,data\train_processed\alpha\00001427.png
data\train_processed\images\00000864.png,data\train_processed\alpha\00000864.png
data\train_processed\images\00000421.png,data\train_processed\alpha\00000421.png
data\train_processed\images\00000636.png,data\train_processed\alpha\00000636.png
data\train_processed\images\00001404.png,data\train_processed\alpha\00001404.png
data\train_processed\images\00000799.png,data\train_processed\alpha\00000799.png
data\train_processed\images\00001328.png,data\train_processed\alpha\00001328.png
data\train_processed\images\00000615.png,data\train_processed\alpha\00000615.png
data\train_processed\images\00000294.png,data\train_processed\alpha\00000294.png
data\train_processed\images\00000921.png,data\train_processed\alpha\00000921.png
data\train_processed\images\00001562.png,data\train_processed\alpha\00001562.png
data\train_processed\images\00001900.png,data\train_processed\alpha\00001900.png
data\train_processed\images\00000088.png,data\train_processed\alpha\00000088.png
data\train_processed\images\00000041.png,data\train_processed\alpha\00000041.png
data\train_processed\images\00001799.png,data\train_processed\alpha\00001799.png
data\train_processed\images\00001931.png,data\train_processed\alpha\00001931.png
data\train_processed\images\00000131.png,data\train_processed\alpha\00000131.png
data\train_processed\images\00000999.png,data\train_processed\alpha\00000999.png
data\train_processed\images\00000987.png,data\train_processed\alpha\00000987.png
data\train_processed\images\00001068.png,data\train_processed\alpha\00001068.png
data\train_processed\images\00001852.png,data\train_processed\alpha\00001852.png
data\train_processed\images\00001342.png,data\train_processed\alpha\00001342.png
data\train_processed\images\00001637.png,data\train_processed\alpha\00001637.png
data\train_processed\images\00000164.png,data\train_processed\alpha\00000164.png
data\train_processed\images\00000724.png,data\train_processed\alpha\00000724.png
data\train_processed\images\00000290.png,data\train_processed\alpha\00000290.png
data\train_processed\images\00001463.png,data\train_processed\alpha\00001463.png
data\train_processed\images\00001741.png,data\train_processed\alpha\00001741.png
data\train_processed\images\00001894.png,data\train_processed\alpha\00001894.png
data\train_processed\images\00001848.png,data\train_processed\alpha\00001848.png
data\train_processed\images\00001359.png,data\train_processed\alpha\00001359.png
data\train_processed\images\00000778.png,data\train_processed\alpha\00000778.png
data\train_processed\images\00000839.png,data\train_processed\alpha\00000839.png
data\train_processed\images\00000348.png,data\train_processed\alpha\00000348.png
data\train_processed\images\00001942.png,data\train_processed\alpha\00001942.png
data\train_processed\images\00000571.png,data\train_processed\alpha\00000571.png
data\train_processed\images\00000917.png,data\train_processed\alpha\00000917.png
data\train_processed\images\00000974.png,data\train_processed\alpha\00000974.png
data\train_processed\images\00001884.png,data\train_processed\alpha\00001884.png
data\train_processed\images\00001466.png,data\train_processed\alpha\00001466.png
data\train_processed\images\00001728.png,data\train_processed\alpha\00001728.png
data\train_processed\images\00001315.png,data\train_processed\alpha\00001315.png
data\train_processed\images\00001938.png,data\train_processed\alpha\00001938.png
data\train_processed\images\00001023.png,data\train_processed\alpha\00001023.png
data\train_processed\images\00000458.png,data\train_processed\alpha\00000458.png
data\train_processed\images\00000375.png,data\train_processed\alpha\00000375.png
data\train_processed\images\00001340.png,data\train_processed\alpha\00001340.png
data\train_processed\images\00000333.png,data\train_processed\alpha\00000333.png
data\train_processed\images\00001620.png,data\train_processed\alpha\00001620.png
data\train_processed\images\00001758.png,data\train_processed\alpha\00001758.png
data\train_processed\images\00001455.png,data\train_processed\alpha\00001455.png
data\train_processed\images\00000816.png,data\train_processed\alpha\00000816.png
data\train_processed\images\00001113.png,data\train_processed\alpha\00001113.png
data\train_processed\images\00001497.png,data\train_processed\alpha\00001497.png
data\train_processed\images\00001854.png,data\train_processed\alpha\00001854.png
data\train_processed\images\00000973.png,data\train_processed\alpha\00000973.png
data\train_processed\images\00001206.png,data\train_processed\alpha\00001206.png
data\train_processed\images\00000910.png,data\train_processed\alpha\00000910.png
data\train_processed\images\00001927.png,data\train_processed\alpha\00001927.png
data\train_processed\images\00001124.png,data\train_processed\alpha\00001124.png
data\train_processed\images\00000328.png,data\train_processed\alpha\00000328.png
data\train_processed\images\00001034.png,data\train_processed\alpha\00001034.png
data\train_processed\images\00000318.png,data\train_processed\alpha\00000318.png
data\train_processed\images\00001622.png,data\train_processed\alpha\00001622.png
data\train_processed\images\00001356.png,data\train_processed\alpha\00001356.png
data\train_processed\images\00001730.png,data\train_processed\alpha\00001730.png
data\train_processed\images\00000167.png,data\train_processed\alpha\00000167.png
data\train_processed\images\00000012.png,data\train_processed\alpha\00000012.png
data\train_processed\images\00001924.png,data\train_processed\alpha\00001924.png
data\train_processed\images\00000171.png,data\train_processed\alpha\00000171.png
data\train_processed\images\00000649.png,data\train_processed\alpha\00000649.png
data\train_processed\images\00001576.png,data\train_processed\alpha\00001576.png
data\train_processed\images\00000260.png,data\train_processed\alpha\00000260.png
data\train_processed\images\00001457.png,data\train_processed\alpha\00001457.png
data\train_processed\images\00001407.png,data\train_processed\alpha\00001407.png
data\train_processed\images\00000901.png,data\train_processed\alpha\00000901.png
data\train_processed\images\00000672.png,data\train_processed\alpha\00000672.png
data\train_processed\images\00000258.png,data\train_processed\alpha\00000258.png
data\train_processed\images\00000844.png,data\train_processed\alpha\00000844.png
data\train_processed\images\00000867.png,data\train_processed\alpha\00000867.png
data\train_processed\images\00001193.png,data\train_processed\alpha\00001193.png
data\train_processed\images\00000138.png,data\train_processed\alpha\00000138.png
data\train_processed\images\00000893.png,data\train_processed\alpha\00000893.png
data\train_processed\images\00001835.png,data\train_processed\alpha\00001835.png
data\train_processed\images\00000549.png,data\train_processed\alpha\00000549.png
data\train_processed\images\00000319.png,data\train_processed\alpha\00000319.png
data\train_processed\images\00001524.png,data\train_processed\alpha\00001524.png
data\train_processed\images\00001234.png,data\train_processed\alpha\00001234.png
data\train_processed\images\00001176.png,data\train_processed\alpha\00001176.png
data\train_processed\images\00000558.png,data\train_processed\alpha\00000558.png
data\train_processed\images\00000139.png,data\train_processed\alpha\00000139.png
data\train_processed\images\00001732.png,data\train_processed\alpha\00001732.png
data\train_processed\images\00000531.png,data\train_processed\alpha\00000531.png
data\train_processed\images\00000224.png,data\train_processed\alpha\00000224.png
data\train_processed\images\00000723.png,data\train_processed\alpha\00000723.png
data\train_processed\images\00000786.png,data\train_processed\alpha\00000786.png
data\train_processed\images\00001747.png,data\train_processed\alpha\00001747.png
data\train_processed\images\00001005.png,data\train_processed\alpha\00001005.png
data\train_processed\images\00000409.png,data\train_processed\alpha\00000409.png
data\train_processed\images\00000325.png,data\train_processed\alpha\00000325.png
data\train_processed\images\00001313.png,data\train_processed\alpha\00001313.png
data\train_processed\images\00000299.png,data\train_processed\alpha\00000299.png
data\train_processed\images\00001460.png,data\train_processed\alpha\00001460.png
data\train_processed\images\00001566.png,data\train_processed\alpha\00001566.png
data\train_processed\images\00000025.png,data\train_processed\alpha\00000025.png
data\train_processed\images\00001856.png,data\train_processed\alpha\00001856.png
data\train_processed\images\00000714.png,data\train_processed\alpha\00000714.png
data\train_processed\images\00001007.png,data\train_processed\alpha\00001007.png
data\train_processed\images\00000193.png,data\train_processed\alpha\00000193.png
data\train_processed\images\00000440.png,data\train_processed\alpha\00000440.png
data\train_processed\images\00000573.png,data\train_processed\alpha\00000573.png
data\train_processed\images\00000946.png,data\train_processed\alpha\00000946.png
data\train_processed\images\00000997.png,data\train_processed\alpha\00000997.png
data\train_processed\images\00000503.png,data\train_processed\alpha\00000503.png
data\train_processed\images\00000605.png,data\train_processed\alpha\00000605.png
data\train_processed\images\00001977.png,data\train_processed\alpha\00001977.png
data\train_processed\images\00001859.png,data\train_processed\alpha\00001859.png
data\train_processed\images\00001784.png,data\train_processed\alpha\00001784.png
data\train_processed\images\00000846.png,data\train_processed\alpha\00000846.png
data\train_processed\images\00000003.png,data\train_processed\alpha\00000003.png
data\train_processed\images\00001512.png,data\train_processed\alpha\00001512.png
data\train_processed\images\00001221.png,data\train_processed\alpha\00001221.png
data\train_processed\images\00000467.png,data\train_processed\alpha\00000467.png
data\train_processed\images\00000321.png,data\train_processed\alpha\00000321.png
data\train_processed\images\00000005.png,data\train_processed\alpha\00000005.png
data\train_processed\images\00000222.png,data\train_processed\alpha\00000222.png
data\train_processed\images\00001574.png,data\train_processed\alpha\00001574.png
data\train_processed\images\00000547.png,data\train_processed\alpha\00000547.png
data\train_processed\images\00000228.png,data\train_processed\alpha\00000228.png
data\train_processed\images\00000039.png,data\train_processed\alpha\00000039.png
data\train_processed\images\00000542.png,data\train_processed\alpha\00000542.png
data\train_processed\images\00000242.png,data\train_processed\alpha\00000242.png
data\train_processed\images\00000898.png,data\train_processed\alpha\00000898.png
data\train_processed\images\00001132.png,data\train_processed\alpha\00001132.png
data\train_processed\images\00000136.png,data\train_processed\alpha\00000136.png
data\train_processed\images\00001190.png,data\train_processed\alpha\00001190.png
data\train_processed\images\00001085.png,data\train_processed\alpha\00001085.png
data\train_processed\images\00000842.png,data\train_processed\alpha\00000842.png
data\train_processed\images\00001470.png,data\train_processed\alpha\00001470.png
data\train_processed\images\00001825.png,data\train_processed\alpha\00001825.png
data\train_processed\images\00001967.png,data\train_processed\alpha\00001967.png
data\train_processed\images\00000661.png,data\train_processed\alpha\00000661.png
data\train_processed\images\00001662.png,data\train_processed\alpha\00001662.png
data\train_processed\images\00000314.png,data\train_processed\alpha\00000314.png
data\train_processed\images\00000691.png,data\train_processed\alpha\00000691.png
data\train_processed\images\00001501.png,data\train_processed\alpha\00001501.png
data\train_processed\images\00000424.png,data\train_processed\alpha\00000424.png
data\train_processed\images\00000594.png,data\train_processed\alpha\00000594.png
data\train_processed\images\00001961.png,data\train_processed\alpha\00001961.png
data\train_processed\images\00000622.png,data\train_processed\alpha\00000622.png
data\train_processed\images\00001169.png,data\train_processed\alpha\00001169.png
data\train_processed\images\00001352.png,data\train_processed\alpha\00001352.png
data\train_processed\images\00000227.png,data\train_processed\alpha\00000227.png
data\train_processed\images\00001116.png,data\train_processed\alpha\00001116.png
data\train_processed\images\00001329.png,data\train_processed\alpha\00001329.png
data\train_processed\images\00001096.png,data\train_processed\alpha\00001096.png
data\train_processed\images\00000066.png,data\train_processed\alpha\00000066.png
data\train_processed\images\00000024.png,data\train_processed\alpha\00000024.png
data\train_processed\images\00000144.png,data\train_processed\alpha\00000144.png
data\train_processed\images\00000536.png,data\train_processed\alpha\00000536.png
data\train_processed\images\00000811.png,data\train_processed\alpha\00000811.png
data\train_processed\images\00001118.png,data\train_processed\alpha\00001118.png
data\train_processed\images\00000085.png,data\train_processed\alpha\00000085.png
data\train_processed\images\00001182.png,data\train_processed\alpha\00001182.png
data\train_processed\images\00001293.png,data\train_processed\alpha\00001293.png
data\train_processed\images\00001802.png,data\train_processed\alpha\00001802.png
data\train_processed\images\00001815.png,data\train_processed\alpha\00001815.png
data\train_processed\images\00001370.png,data\train_processed\alpha\00001370.png
data\train_processed\images\00001647.png,data\train_processed\alpha\00001647.png
data\train_processed\images\00000362.png,data\train_processed\alpha\00000362.png
data\train_processed\images\00001609.png,data\train_processed\alpha\00001609.png
data\train_processed\images\00001151.png,data\train_processed\alpha\00001151.png
data\train_processed\images\00001026.png,data\train_processed\alpha\00001026.png
data\train_processed\images\00001030.png,data\train_processed\alpha\00001030.png
data\train_processed\images\00001216.png,data\train_processed\alpha\00001216.png
data\train_processed\images\00001353.png,data\train_processed\alpha\00001353.png
data\train_processed\images\00001840.png,data\train_processed\alpha\00001840.png
data\train_processed\images\00000665.png,data\train_processed\alpha\00000665.png
data\train_processed\images\00000364.png,data\train_processed\alpha\00000364.png
data\train_processed\images\00000077.png,data\train_processed\alpha\00000077.png
data\train_processed\images\00000027.png,data\train_processed\alpha\00000027.png
data\train_processed\images\00001760.png,data\train_processed\alpha\00001760.png
data\train_processed\images\00000525.png,data\train_processed\alpha\00000525.png
data\train_processed\images\00001832.png,data\train_processed\alpha\00001832.png
data\train_processed\images\00000055.png,data\train_processed\alpha\00000055.png
data\train_processed\images\00000638.png,data\train_processed\alpha\00000638.png
data\train_processed\images\00000302.png,data\train_processed\alpha\00000302.png
data\train_processed\images\00000718.png,data\train_processed\alpha\00000718.png
data\train_processed\images\00000624.png,data\train_processed\alpha\00000624.png
data\train_processed\images\00000007.png,data\train_processed\alpha\00000007.png
data\train_processed\images\00000803.png,data\train_processed\alpha\00000803.png
data\train_processed\images\00001049.png,data\train_processed\alpha\00001049.png
data\train_processed\images\00000336.png,data\train_processed\alpha\00000336.png
data\train_processed\images\00000047.png,data\train_processed\alpha\00000047.png
data\train_processed\images\00001477.png,data\train_processed\alpha\00001477.png
data\train_processed\images\00000106.png,data\train_processed\alpha\00000106.png
data\train_processed\images\00000349.png,data\train_processed\alpha\00000349.png
data\train_processed\images\00001079.png,data\train_processed\alpha\00001079.png
data\train_processed\images\00000238.png,data\train_processed\alpha\00000238.png
data\train_processed\images\00000213.png,data\train_processed\alpha\00000213.png
data\train_processed\images\00001251.png,data\train_processed\alpha\00001251.png
data\train_processed\images\00001137.png,data\train_processed\alpha\00001137.png
data\train_processed\images\00000793.png,data\train_processed\alpha\00000793.png
data\train_processed\images\00001121.png,data\train_processed\alpha\00001121.png
data\train_processed\images\00001580.png,data\train_processed\alpha\00001580.png
data\train_processed\images\00001669.png,data\train_processed\alpha\00001669.png
data\train_processed\images\00000523.png,data\train_processed\alpha\00000523.png
data\train_processed\images\00000232.png,data\train_processed\alpha\00000232.png
data\train_processed\images\00000644.png,data\train_processed\alpha\00000644.png
data\train_processed\images\00001505.png,data\train_processed\alpha\00001505.png
data\train_processed\images\00000533.png,data\train_processed\alpha\00000533.png
data\train_processed\images\00001506.png,data\train_processed\alpha\00001506.png
data\train_processed\images\00000603.png,data\train_processed\alpha\00000603.png
data\train_processed\images\00001208.png,data\train_processed\alpha\00001208.png
data\train_processed\images\00001074.png,data\train_processed\alpha\00001074.png
data\train_processed\images\00001302.png,data\train_processed\alpha\00001302.png
data\train_processed\images\00000060.png,data\train_processed\alpha\00000060.png
data\train_processed\images\00001261.png,data\train_processed\alpha\00001261.png
data\train_processed\images\00000092.png,data\train_processed\alpha\00000092.png
data\train_processed\images\00000666.png,data\train_processed\alpha\00000666.png
data\train_processed\images\00000280.png,data\train_processed\alpha\00000280.png
data\train_processed\images\00001112.png,data\train_processed\alpha\00001112.png
data\train_processed\images\00000359.png,data\train_processed\alpha\00000359.png
data\train_processed\images\00001544.png,data\train_processed\alpha\00001544.png
data\train_processed\images\00001870.png,data\train_processed\alpha\00001870.png
data\train_processed\images\00000847.png,data\train_processed\alpha\00000847.png
data\train_processed\images\00001375.png,data\train_processed\alpha\00001375.png
data\train_processed\images\00000110.png,data\train_processed\alpha\00000110.png
data\train_processed\images\00000042.png,data\train_processed\alpha\00000042.png
data\train_processed\images\00000125.png,data\train_processed\alpha\00000125.png
data\train_processed\images\00000204.png,data\train_processed\alpha\00000204.png
data\train_processed\images\00000052.png,data\train_processed\alpha\00000052.png
data\train_processed\images\00000545.png,data\train_processed\alpha\00000545.png
data\train_processed\images\00000068.png,data\train_processed\alpha\00000068.png
data\train_processed\images\00001639.png,data\train_processed\alpha\00001639.png
data\train_processed\images\00001545.png,data\train_processed\alpha\00001545.png
data\train_processed\images\00000183.png,data\train_processed\alpha\00000183.png
data\train_processed\images\00000137.png,data\train_processed\alpha\00000137.png
data\train_processed\images\00000899.png,data\train_processed\alpha\00000899.png
data\train_processed\images\00000796.png,data\train_processed\alpha\00000796.png
data\train_processed\images\00000132.png,data\train_processed\alpha\00000132.png
data\train_processed\images\00000080.png,data\train_processed\alpha\00000080.png
data\train_processed\images\00001480.png,data\train_processed\alpha\00001480.png
data\train_processed\images\00001538.png,data\train_processed\alpha\00001538.png
data\train_processed\images\00000541.png,data\train_processed\alpha\00000541.png
data\train_processed\images\00001593.png,data\train_processed\alpha\00001593.png
data\train_processed\images\00000983.png,data\train_processed\alpha\00000983.png
data\train_processed\images\00000165.png,data\train_processed\alpha\00000165.png
data\train_processed\images\00000248.png,data\train_processed\alpha\00000248.png
data\train_processed\images\00000446.png,data\train_processed\alpha\00000446.png
data\train_processed\images\00001697.png,data\train_processed\alpha\00001697.png
data\train_processed\images\00000858.png,data\train_processed\alpha\00000858.png
data\train_processed\images\00001210.png,data\train_processed\alpha\00001210.png
data\train_processed\images\00000097.png,data\train_processed\alpha\00000097.png
data\train_processed\images\00001971.png,data\train_processed\alpha\00001971.png
data\train_processed\images\00000737.png,data\train_processed\alpha\00000737.png
data\train_processed\images\00001446.png,data\train_processed\alpha\00001446.png
data\train_processed\images\00000102.png,data\train_processed\alpha\00000102.png
data\train_processed\images\00000434.png,data\train_processed\alpha\00000434.png
data\train_processed\images\00000074.png,data\train_processed\alpha\00000074.png
data\train_processed\images\00001789.png,data\train_processed\alpha\00001789.png
data\train_processed\images\00001200.png,data\train_processed\alpha\00001200.png
data\train_processed\images\00000918.png,data\train_processed\alpha\00000918.png
data\train_processed\images\00001709.png,data\train_processed\alpha\00001709.png
data\train_processed\images\00001668.png,data\train_processed\alpha\00001668.png
data\train_processed\images\00001618.png,data\train_processed\alpha\00001618.png
data\train_processed\images\00000762.png,data\train_processed\alpha\00000762.png
data\train_processed\images\00000989.png,data\train_processed\alpha\00000989.png
data\train_processed\images\00000388.png,data\train_processed\alpha\00000388.png
data\train_processed\images\00000235.png,data\train_processed\alpha\00000235.png
data\train_processed\images\00001666.png,data\train_processed\alpha\00001666.png
data\train_processed\images\00000267.png,data\train_processed\alpha\00000267.png
data\train_processed\images\00001673.png,data\train_processed\alpha\00001673.png
data\train_processed\images\00000117.png,data\train_processed\alpha\00000117.png
data\train_processed\images\00001604.png,data\train_processed\alpha\00001604.png
data\train_processed\images\00000673.png,data\train_processed\alpha\00000673.png
data\train_processed\images\00000249.png,data\train_processed\alpha\00000249.png
data\train_processed\images\00001450.png,data\train_processed\alpha\00001450.png
data\train_processed\images\00001992.png,data\train_processed\alpha\00001992.png
data\train_processed\images\00000094.png,data\train_processed\alpha\00000094.png
data\train_processed\images\00000033.png,data\train_processed\alpha\00000033.png
data\train_processed\images\00001461.png,data\train_processed\alpha\00001461.png
data\train_processed\images\00001665.png,data\train_processed\alpha\00001665.png
data\train_processed\images\00000448.png,data\train_processed\alpha\00000448.png
data\train_processed\images\00000716.png,data\train_processed\alpha\00000716.png
data\train_processed\images\00001262.png,data\train_processed\alpha\00001262.png
data\train_processed\images\00001973.png,data\train_processed\alpha\00001973.png
data\train_processed\images\00000000.png,data\train_processed\alpha\00000000.png
data\train_processed\images\00001489.png,data\train_processed\alpha\00001489.png
data\train_processed\images\00001101.png,data\train_processed\alpha\00001101.png
data\train_processed\images\00001108.png,data\train_processed\alpha\00001108.png
data\train_processed\images\00001855.png,data\train_processed\alpha\00001855.png
data\train_processed\images\00000082.png,data\train_processed\alpha\00000082.png
data\train_processed\images\00001286.png,data\train_processed\alpha\00001286.png
data\train_processed\images\00000676.png,data\train_processed\alpha\00000676.png
data\train_processed\images\00001449.png,data\train_processed\alpha\00001449.png
data\train_processed\images\00001046.png,data\train_processed\alpha\00001046.png
data\train_processed\images\00000770.png,data\train_processed\alpha\00000770.png
data\train_processed\images\00001269.png,data\train_processed\alpha\00001269.png
data\train_processed\images\00001278.png,data\train_processed\alpha\00001278.png
data\train_processed\images\00001578.png,data\train_processed\alpha\00001578.png
data\train_processed\images\00001486.png,data\train_processed\alpha\00001486.png
data\train_processed\images\00000404.png,data\train_processed\alpha\00000404.png
data\train_processed\images\00001885.png,data\train_processed\alpha\00001885.png
data\train_processed\images\00001358.png,data\train_processed\alpha\00001358.png
data\train_processed\images\00001338.png,data\train_processed\alpha\00001338.png
data\train_processed\images\00000104.png,data\train_processed\alpha\00000104.png
data\train_processed\images\00000688.png,data\train_processed\alpha\00000688.png
data\train_processed\images\00001303.png,data\train_processed\alpha\00001303.png
data\train_processed\images\00000826.png,data\train_processed\alpha\00000826.png
data\train_processed\images\00000062.png,data\train_processed\alpha\00000062.png
data\train_processed\images\00000852.png,data\train_processed\alpha\00000852.png
data\train_processed\images\00001351.png,data\train_processed\alpha\00001351.png
data\train_processed\images\00000223.png,data\train_processed\alpha\00000223.png
data\train_processed\images\00000145.png,data\train_processed\alpha\00000145.png
data\train_processed\images\00001088.png,data\train_processed\alpha\00001088.png
data\train_processed\images\00000373.png,data\train_processed\alpha\00000373.png
data\train_processed\images\00001418.png,data\train_processed\alpha\00001418.png
data\train_processed\images\00001142.png,data\train_processed\alpha\00001142.png
data\train_processed\images\00001824.png,data\train_processed\alpha\00001824.png
data\train_processed\images\00001492.png,data\train_processed\alpha\00001492.png
data\train_processed\images\00001599.png,data\train_processed\alpha\00001599.png
data\train_processed\images\00001268.png,data\train_processed\alpha\00001268.png
data\train_processed\images\00000009.png,data\train_processed\alpha\00000009.png
data\train_processed\images\00000449.png,data\train_processed\alpha\00000449.png
data\train_processed\images\00000708.png,data\train_processed\alpha\00000708.png
data\train_processed\images\00000255.png,data\train_processed\alpha\00000255.png
data\train_processed\images\00000882.png,data\train_processed\alpha\00000882.png
data\train_processed\images\00000389.png,data\train_processed\alpha\00000389.png
data\train_processed\images\00000908.png,data\train_processed\alpha\00000908.png
data\train_processed\images\00000924.png,data\train_processed\alpha\00000924.png
data\train_processed\images\00001701.png,data\train_processed\alpha\00001701.png
data\train_processed\images\00001230.png,data\train_processed\alpha\00001230.png
data\train_processed\images\00000460.png,data\train_processed\alpha\00000460.png
data\train_processed\images\00001943.png,data\train_processed\alpha\00001943.png
data\train_processed\images\00001168.png,data\train_processed\alpha\00001168.png
data\train_processed\images\00000958.png,data\train_processed\alpha\00000958.png
data\train_processed\images\00000501.png,data\train_processed\alpha\00000501.png
data\train_processed\images\00000739.png,data\train_processed\alpha\00000739.png
data\train_processed\images\00001847.png,data\train_processed\alpha\00001847.png
data\train_processed\images\00000868.png,data\train_processed\alpha\00000868.png
data\train_processed\images\00000731.png,data\train_processed\alpha\00000731.png
data\train_processed\images\00000539.png,data\train_processed\alpha\00000539.png
data\train_processed\images\00001201.png,data\train_processed\alpha\00001201.png
data\train_processed\images\00000697.png,data\train_processed\alpha\00000697.png
data\train_processed\images\00001921.png,data\train_processed\alpha\00001921.png
data\train_processed\images\00001374.png,data\train_processed\alpha\00001374.png
data\train_processed\images\00001145.png,data\train_processed\alpha\00001145.png
data\train_processed\images\00001031.png,data\train_processed\alpha\00001031.png
data\train_processed\images\00000372.png,data\train_processed\alpha\00000372.png
data\train_processed\images\00000667.png,data\train_processed\alpha\00000667.png
data\train_processed\images\00001523.png,data\train_processed\alpha\00001523.png
data\train_processed\images\00000357.png,data\train_processed\alpha\00000357.png
data\train_processed\images\00000967.png,data\train_processed\alpha\00000967.png
data\train_processed\images\00000783.png,data\train_processed\alpha\00000783.png
data\train_processed\images\00000735.png,data\train_processed\alpha\00000735.png
data\train_processed\images\00001035.png,data\train_processed\alpha\00001035.png
data\train_processed\images\00000970.png,data\train_processed\alpha\00000970.png
data\train_processed\images\00001858.png,data\train_processed\alpha\00001858.png
data\train_processed\images\00001812.png,data\train_processed\alpha\00001812.png
data\train_processed\images\00001521.png,data\train_processed\alpha\00001521.png
data\train_processed\images\00001488.png,data\train_processed\alpha\00001488.png
data\train_processed\images\00001640.png,data\train_processed\alpha\00001640.png
data\train_processed\images\00001252.png,data\train_processed\alpha\00001252.png
data\train_processed\images\00001691.png,data\train_processed\alpha\00001691.png
data\train_processed\images\00001713.png,data\train_processed\alpha\00001713.png
data\train_processed\images\00001236.png,data\train_processed\alpha\00001236.png
data\train_processed\images\00000885.png,data\train_processed\alpha\00000885.png
data\train_processed\images\00000079.png,data\train_processed\alpha\00000079.png
data\train_processed\images\00001172.png,data\train_processed\alpha\00001172.png
data\train_processed\images\00000814.png,data\train_processed\alpha\00000814.png
data\train_processed\images\00001283.png,data\train_processed\alpha\00001283.png
data\train_processed\images\00000671.png,data\train_processed\alpha\00000671.png
data\train_processed\images\00001532.png,data\train_processed\alpha\00001532.png
data\train_processed\images\00000057.png,data\train_processed\alpha\00000057.png
data\train_processed\images\00000133.png,data\train_processed\alpha\00000133.png
data\train_processed\images\00001140.png,data\train_processed\alpha\00001140.png
data\train_processed\images\00000933.png,data\train_processed\alpha\00000933.png
data\train_processed\images\00001682.png,data\train_processed\alpha\00001682.png
data\train_processed\images\00000823.png,data\train_processed\alpha\00000823.png
data\train_processed\images\00001214.png,data\train_processed\alpha\00001214.png
data\train_processed\images\00000504.png,data\train_processed\alpha\00000504.png
data\train_processed\images\00001881.png,data\train_processed\alpha\00001881.png
